count_i, smass, sfr, m_age, l_age, AV 
10348 5.795 -3.648 0.029 -0.461 0.093
10349 5.558 -3.591 0.213 -0.866 0.882
1035 5.738 -4.130 -0.015 -0.379 0.038
10350 5.568 -3.319 0.174 -1.229 3.944
10351 5.637 -3.455 0.238 -0.779 0.200
10352 5.376 -3.729 0.229 -0.761 0.095
10353 5.224 -4.228 0.292 -0.152 2.568
10354 6.021 -3.943 0.123 -0.089 0.240
10355 5.692 -4.118 0.057 -0.293 0.166
10356 5.795 -3.081 0.113 -0.399 0.120
10357 6.500 -3.714 0.422 0.277 3.469
10358 5.460 -3.653 0.244 -0.926 3.904
10359 5.799 -2.769 0.046 -0.666 1.211
1036 5.835 -4.021 -0.052 -0.401 0.118
10360 5.851 -3.295 0.281 -0.383 0.601
10361 5.458 -3.686 0.227 -0.793 0.205
10362 5.411 -4.144 0.179 -0.250 0.075
10363 5.437 -4.017 0.205 -0.234 0.062
10364 5.528 -3.332 0.197 -0.717 1.745
10365 5.211 -4.250 0.287 -0.137 3.989
10366 5.199 -4.263 0.286 -0.133 3.999
10367 5.287 -4.089 0.302 -0.221 2.558
10368 5.468 -3.601 0.220 -0.499 0.340
10369 5.419 -3.883 0.243 -0.570 1.520
1037 5.387 -3.956 0.207 -0.308 0.058
10370 5.784 -3.164 0.156 -0.660 1.835
10371 5.319 -4.161 0.237 -0.213 0.025
10372 5.933 -3.854 0.348 0.035 2.522
10373 5.313 -4.119 0.243 -0.223 0.156
10374 5.412 -3.922 0.269 -0.191 0.900
10375 5.237 -4.222 0.280 -0.160 0.040
10376 5.250 -4.168 0.280 -0.173 2.851
10377 5.276 -4.082 0.281 -0.228 3.920
10378 5.271 -4.166 0.273 -0.178 0.140
10379 5.200 -4.262 0.301 -0.120 4.000
1038 5.927 -3.723 -0.090 -0.414 0.067
10380 5.198 -4.262 0.303 -0.128 3.999
10381 5.216 -4.240 0.294 -0.136 3.973
10382 5.365 -3.837 0.265 -0.347 0.079
10383 5.198 -4.264 0.302 -0.124 4.002
10384 5.487 -3.479 0.186 -0.366 0.173
10385 5.366 -3.979 0.251 -0.525 3.955
10386 5.488 -3.688 0.238 -0.439 2.346
10387 5.334 -4.020 0.247 -0.226 0.121
10388 5.320 -4.140 0.268 -0.168 3.037
10389 5.226 -4.222 0.302 -0.134 0.137
1039 5.199 -4.264 0.286 -0.142 3.999
10390 5.388 -3.734 0.263 -0.415 1.003
10391 5.238 -4.188 0.288 -0.155 3.950
10392 5.261 -4.158 0.279 -0.172 0.941
10393 5.234 -4.198 0.278 -0.154 3.947
10394 5.220 -4.228 0.288 -0.149 3.965
10395 5.198 -4.263 0.308 -0.117 4.000
10396 5.272 -4.094 0.283 -0.225 3.944
10398 5.252 -4.191 0.290 -0.151 3.828
10399 5.336 -4.026 0.275 -0.297 3.904
104 5.270 -4.160 0.267 -0.170 1.972
1040 5.309 -4.090 0.258 -0.196 0.719
10400 5.294 -3.933 0.263 -0.327 0.127
10401 5.331 -3.999 0.231 -0.247 0.027
10402 5.300 -4.132 0.258 -0.211 0.141
10403 5.209 -4.249 0.286 -0.142 3.991
10404 5.400 -4.007 0.201 -0.269 0.029
10405 5.977 -3.898 0.065 -0.310 3.232
10406 5.673 -3.742 0.198 -0.182 3.191
10407 5.277 -4.086 0.285 -0.213 3.908
10408 5.241 -4.205 0.290 -0.175 3.938
10409 5.554 -4.057 0.147 -0.262 0.042
1041 5.533 -3.497 0.220 -0.666 0.160
10410 5.257 -4.195 0.278 -0.150 0.163
10411 5.476 -3.738 0.249 -0.693 3.915
10412 5.681 -3.391 0.265 -0.312 3.121
10413 5.532 -3.643 0.246 -0.734 3.933
10414 5.213 -4.244 0.292 -0.133 3.987
10415 5.374 -3.943 0.271 -0.259 0.212
10416 5.208 -4.252 0.300 -0.136 3.992
10417 5.599 -3.393 0.185 -0.521 0.942
10418 5.489 -4.113 0.238 -0.185 0.193
10419 5.649 -3.970 0.236 -0.106 0.447
1042 5.216 -4.238 0.296 -0.141 0.044
10420 5.268 -4.172 0.285 -0.172 0.513
10421 5.206 -4.253 0.294 -0.137 3.991
10422 5.629 -3.971 0.135 -0.256 0.157
