count_i, smass, sfr, m_age, l_age, AV 
1457 8.287 -0.028 -0.553 -0.873 1.404
1458 7.745 -0.675 -0.524 -1.439 0.623
1459 8.015 -0.254 -0.827 -1.049 1.032
146 5.697 -3.595 0.228 -0.727 3.828
1460 7.948 -0.675 -0.564 -1.162 1.375
1461 8.008 -0.420 -0.336 -0.796 1.203
1462 8.408 -2.105 0.456 0.369 0.527
1463 7.535 -0.798 -0.594 -1.358 1.461
1464 7.330 -1.086 -0.289 -1.381 1.320
1465 7.614 -1.246 0.256 -0.727 1.372
1466 7.374 -0.978 -0.351 -0.995 0.929
1467 7.793 -3.248 0.113 0.014 0.714
1468 7.299 -1.402 0.255 -0.888 1.379
1469 7.708 -3.650 0.283 0.199 0.323
147 5.286 -4.130 0.282 -0.180 3.893
1470 7.596 -1.978 0.364 -0.066 0.527
1471 7.701 -3.276 0.411 0.326 0.327
1472 7.625 -3.066 0.452 0.371 0.573
1473 6.690 -2.081 0.187 -1.059 0.579
1474 7.544 -3.387 0.459 0.391 1.480
1475 6.437 -1.977 -0.294 -1.330 0.683
1476 6.679 -1.769 -0.260 -1.219 2.112
1477 7.267 -3.463 0.464 0.367 0.739
1478 6.090 -2.691 0.072 -1.314 0.839
1479 6.162 -3.018 0.136 -0.941 0.827
148 6.122 -3.004 0.136 -0.326 0.853
1480 6.177 -2.759 -0.001 -1.249 1.032
1481 6.357 -2.696 0.007 -1.109 0.843
1482 7.404 -3.493 0.025 -0.014 2.564
1483 6.072 -2.479 -0.117 -1.604 1.825
1484 6.929 -2.312 0.337 -0.699 0.468
1485 7.602 -3.114 0.379 0.275 0.381
1486 7.552 -3.297 0.201 0.071 0.254
1487 7.732 -3.435 0.426 0.368 0.258
1488 7.349 -2.585 -0.419 -0.692 0.393
1489 7.446 -2.801 -0.308 -0.534 0.314
149 5.864 -3.827 0.031 -0.350 0.175
1490 7.791 -3.465 0.298 0.192 0.483
1491 7.630 -1.992 -0.400 -0.528 0.992
1492 7.851 -3.884 0.157 0.090 0.289
1493 7.899 -3.177 0.050 0.001 0.380
1494 8.019 -3.226 0.274 0.184 0.339
1495 7.956 -2.559 0.043 -0.199 0.343
1496 8.055 -2.689 -0.024 -0.192 0.499
