#zs, m1, m2, SNR 
2.553 7.266 5.508 11.329
3.599 13.852 10.662 18.809
4.792 8.392 5.936 5.634
3.788 11.898 8.427 3.280
13.214 14.122 7.297 6.104
4.494 6.863 6.274 7.489
3.997 5.683 5.084 10.261
1.827 8.206 7.737 15.342
9.259 15.289 8.391 6.606
4.792 5.199 5.102 1.227
10.840 5.758 5.193 3.649
9.259 6.009 5.185 2.126
3.270 6.782 5.987 7.170
5.999 9.195 6.996 2.655
2.872 29.764 7.690 3.640
2.373 46.497 35.263 83.792
10.840 6.936 6.212 5.585
2.214 9.551 6.903 25.402
5.999 29.373 6.560 15.226
4.494 10.655 6.618 13.857
3.997 5.446 5.178 7.009
5.134 9.228 9.089 9.900
1.579 28.737 9.201 35.150
4.231 6.453 5.675 5.749
1.722 10.318 9.710 4.452
2.994 30.528 6.064 6.085
7.248 17.077 11.832 7.758
5.999 9.661 7.872 17.662
5.999 25.742 14.573 16.358
2.460 5.859 5.179 7.809
4.792 10.154 7.725 4.455
10.840 5.787 5.648 7.624
10.840 6.280 5.879 6.375
2.291 8.071 7.893 6.420
3.427 7.202 5.453 4.617
3.427 10.902 7.707 3.122
3.127 7.497 6.571 3.994
5.531 9.817 5.833 4.596
8.118 5.086 5.008 4.752
3.270 5.783 5.393 8.547
5.134 6.130 5.212 4.667
1.493 6.021 5.832 15.851
3.270 5.161 5.049 14.703
1.579 8.560 5.988 8.713
3.599 6.670 5.263 3.438
5.999 6.220 5.758 4.593
5.999 5.594 5.387 3.310
3.599 5.335 5.245 9.850
1.773 40.883 12.728 11.573
10.840 6.667 5.838 1.755
1.238 7.628 6.331 7.333
4.792 15.176 14.744 13.943
3.270 5.060 5.048 8.201
7.248 10.287 5.612 6.864
9.259 11.512 10.599 7.448
2.460 15.982 10.936 11.544
3.599 6.993 6.630 8.695
5.134 10.516 5.900 10.636
10.840 15.756 9.593 4.720
3.788 5.951 5.597 7.535
2.872 8.275 5.335 2.860
2.141 16.314 13.208 9.367
5.531 7.083 5.509 2.507
5.134 7.267 5.264 7.419
5.134 23.539 8.599 1.659
17.296 7.209 6.606 5.330
2.006 7.496 5.956 1.863
10.840 6.108 5.423 3.821
3.788 5.413 5.401 5.183
7.248 21.204 16.092 3.553
7.248 15.046 15.023 3.774
3.270 10.036 7.259 13.117
7.248 6.301 6.252 7.881
4.494 5.061 5.054 7.010
1.535 5.978 5.353 11.194
7.248 6.634 5.536 5.851
4.231 5.493 5.188 1.876
3.427 5.274 5.209 4.462
3.127 16.914 12.021 6.442
5.531 12.726 10.597 11.591
5.134 13.629 7.108 8.138
6.560 12.486 7.587 7.331
7.248 10.512 6.451 9.334
6.560 22.017 17.294 7.918
5.531 19.930 8.589 8.943
3.599 5.805 5.164 9.420
2.373 12.451 5.149 3.470
2.994 42.689 33.553 1.560
2.994 7.328 5.431 7.267
4.792 9.994 9.057 12.995
1.493 5.429 5.129 10.583
4.494 39.858 32.754 44.297
5.134 7.935 7.037 9.522
3.997 8.579 5.583 1.322
4.494 8.645 6.443 10.528
10.840 12.494 10.157 1.202
2.214 23.230 18.537 16.492
4.494 9.709 8.489 1.278
5.999 11.872 6.515 12.743
1.305 6.907 6.478 2.603
2.072 51.182 36.529 123.972
