count_i, smass, sfr, m_age, l_age, AV, E(B-V) 
1251 7.453 -3.219 0.449 0.341 0.656 0.6610
1252 6.888 -2.571 -0.138 -0.778 0.684 0.2859
1253 6.863 -1.517 -0.374 -0.832 1.105 0.4140
1254 6.786 -1.562 -0.341 -0.827 0.393 0.2083
1255 6.570 -1.837 -0.200 -0.852 0.296 0.1746
1256 6.344 -2.261 -0.085 -1.234 0.475 0.1109
1257 7.058 -3.267 0.157 0.015 1.872 0.9201
1258 6.441 -2.143 -0.081 -1.088 1.652 0.4749
1259 6.196 -2.738 0.172 -1.207 1.678 0.5336
126 6.043 -2.831 0.011 -0.818 0.670 0.2729
1260 6.134 -2.469 -0.054 -1.054 0.217 0.0544
1261 7.062 -3.189 0.435 0.232 2.140 1.0451
1262 5.931 -3.535 0.183 -0.313 0.949 0.6321
1263 5.705 -3.362 0.185 -0.405 0.106 0.2030
1264 5.897 -3.350 0.202 -0.699 3.440 1.0009
1265 6.135 -3.797 0.047 -0.288 0.184 0.2429
1266 5.899 -3.325 0.199 -0.786 3.779 1.0938
1267 6.205 -3.364 0.029 -0.377 0.482 0.2637
1268 6.217 -3.084 0.204 -0.412 1.684 0.6479
1269 6.807 -3.111 -0.039 -0.268 2.178 0.8903
127 5.330 -4.006 0.270 -0.218 1.245 0.7387
1270 6.172 -2.955 0.172 -0.806 0.444 0.1886
1271 6.321 -3.123 0.062 -0.398 3.033 1.3234
1272 5.931 -2.958 0.109 -1.221 0.319 0.1105
1273 6.156 -2.512 0.060 -1.476 3.910 1.0402
1274 6.174 -2.722 0.062 -1.239 0.819 0.2243
1275 6.958 -2.979 -0.040 -0.306 0.775 0.4440
1276 7.198 -3.122 0.048 -0.095 0.771 0.5542
1277 6.957 -1.452 -0.258 -0.774 1.964 0.6392
1278 7.524 -3.207 0.464 0.359 1.771 1.0689
1279 6.900 -1.466 -0.392 -0.823 0.320 0.2048
128 5.837 -2.931 0.068 -0.844 0.121 0.0842
1280 6.892 -1.443 -0.439 -0.889 0.288 0.1922
1281 6.646 -1.887 -0.218 -1.352 0.500 0.1166
1282 7.133 -1.163 -0.634 -1.041 1.611 0.5226
1283 7.475 -1.331 0.325 -0.467 1.237 0.4668
1284 7.717 -2.698 0.018 -0.092 0.801 0.6121
1285 7.994 -3.166 0.469 0.422 0.545 0.7711
1286 8.129 -2.785 0.461 0.393 1.218 0.8772
1287 8.112 -2.933 0.316 0.200 0.764 0.6778
1288 8.155 -3.265 0.041 -0.019 0.567 0.5819
1289 8.275 -2.397 0.046 -0.036 0.526 0.5409
129 6.190 -2.591 0.077 -0.485 0.658 0.2941
1290 8.370 -2.648 0.022 -0.063 0.312 0.4573
1291 8.552 -2.547 0.052 -0.031 0.715 0.5959
1292 8.637 -2.558 0.065 0.003 0.736 0.6465
1293 8.625 -2.623 0.120 0.050 0.575 0.6027
1294 8.631 -3.089 0.368 0.292 0.445 0.6651
1295 8.351 -2.185 -0.392 -0.495 1.493 0.5480
1296 8.404 -3.060 -0.001 -0.049 1.497 0.8466
1297 8.064 -2.885 -0.365 -0.486 1.178 0.4685
1298 8.285 -2.771 0.472 0.415 1.419 0.9758
1299 8.093 -2.969 0.061 0.008 2.335 1.1001
13 5.795 -3.482 0.260 -0.359 2.878 1.5028
130 5.517 -3.620 0.203 -0.450 0.066 -0.1149
1300 7.872 -2.513 0.023 -0.063 1.149 0.7323
1301 7.805 -2.950 0.055 -0.049 1.185 0.7461
1302 7.210 -1.104 -0.435 -0.870 0.979 0.3804
1303 7.431 -2.191 0.090 -0.283 0.638 0.4235
1304 7.690 -3.020 0.465 0.390 1.510 0.9896
1305 6.987 -1.371 -0.309 -0.827 1.186 0.4327
1306 7.011 -1.326 -0.407 -0.872 1.483 0.5317
