# id in_final_catalog selection_bit
020059.16-024602.6 n boss_core
020102.69-062258.7 y boss_core
020106.36-030041.4 y boss_core
020113.07-025408.6 y boss_core
020113.52-002723.9 y dr7_core
020118.84-030138.3 n boss_core
020120.66-062404.5 n boss_core
020121.98-023838.7 y boss_core
020124.08-060625.3 y boss_core
020125.09-051120.1 y boss_core
020127.91-030204.0 n boss_core
020129.32-051128.1 n non_uniform
020139.25-050118.7 n boss_core
020146.20-062944.3 y boss_core
020146.87-062452.3 n boss_core
020149.02-034514.8 y boss_core
020151.52-012722.9 y boss_core
020153.35-010251.6 y boss_core
020153.69-045233.0 n non_uniform
020154.15-041554.4 y boss_core
020158.64-024510.8 y boss_core
020202.44-042819.5 n non_uniform
020202.45-051722.7 y boss_core
020205.98-044337.3 n boss_core
020207.74-011205.6 n non_uniform
020209.55-012507.9 n boss_core
020211.65-024900.9 y boss_core
020221.34-025508.2 n boss_core
020222.93-015739.6 y boss_core
020225.74-024215.4 y boss_core
020225.98-061156.4 y boss_core
020227.90-033412.9 n boss_core
020228.72-045045.9 n boss_core
020231.46-033726.6 y boss_core
020233.41-061722.0 n non_uniform
020235.88-050625.3 y boss_core
020237.34-051115.2 y boss_core
020241.72-012551.1 n boss_core
020245.60-004413.8 y boss_core
020245.67-024644.3 n boss_core
020245.80-063507.4 n non_uniform
020246.57-050927.6 y boss_core
020256.82-042247.2 y boss_core
020257.39-051225.4 n boss_core
020258.18-032621.5 n boss_core
020301.63-033140.8 y boss_core
020301.73-045108.6 y boss_core
020306.44-045935.7 n boss_core
020308.98-060834.5 y boss_core
020309.07-043709.7 y boss_core
020309.21-004912.6 y dr7_core
020311.74-033735.0 y boss_core
020312.71-053238.0 y boss_core
020313.15-051057.6 n non_uniform
020314.86-003533.3 y boss_core
020316.46-033636.1 y boss_core
020317.99-062900.4 n non_uniform
020323.83-022247.9 y boss_core
020326.13-033727.9 y boss_core
020326.33-055531.5 y boss_core
020327.04-045853.4 y boss_core
020329.85-003506.2 y boss_core
